,Position,Track Name,Artist,Streams
116,117,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,6255489
117,118,Está Cabrón Ser Yo,Bad Bunny,6183206
118,119,Woah,Lil Baby,6165672
119,120,Hablamos Mañana,Bad Bunny,6105711
120,121,No Me Conoce - Remix,Jhay Cortez,6093021
121,122,Like That (feat. Gucci Mane),Doja Cat,6086557
122,123,Medusa,Jhay Cortez,6075612
123,124,ON,BTS,6062810
124,125,Get You The Moon (feat. Snøw),Kina,6038247
125,126,Lotus,Lil Uzi Vert,6017103
126,127,Feel Me,Selena Gomez,6011577
127,128,Wow.,Post Malone,5996010
128,129,Se Me Olvidó,Christian Nodal,5943325
129,130,SAD!,XXXTENTACION,5933625
130,131,OUT WEST (feat. Young Thug),JACKBOYS,5919050
131,132,Lettre à une femme,Ninho,5895243
132,133,Jocelyn Flores,XXXTENTACION,5869062
133,134,Bruises,Lewis Capaldi,5866345
134,135,Bohemian Rhapsody - Remastered 2011,Queen,5863900
135,136,Without Me,Halsey,5806508
136,137,SICKO MODE,Travis Scott,5795343
137,138,Sucker,Jonas Brothers,5793363
138,139,Fantasias - Remix,Rauw Alejandro,5783342
139,140,Robbery,Juice WRLD,5782907
140,141,How Do You Sleep?,Sam Smith,5724404
141,142,Say You Won't Let Go,James Arthur,5651525
142,143,July,Noah Cyrus,5640290
143,144,Blanco,J Balvin,5603476
144,145,Shape of You,Ed Sheeran,5596798
145,146,Que Malo,Bad Bunny,5544180
146,147,Leaders (feat. NAV),Lil Uzi Vert,5496780
147,148,XO Tour Llif3,Lil Uzi Vert,5486889
148,149,Strawberry Peels (feat. Young Thug & Gunna),Lil Uzi Vert,5468083
149,150,"Alone, Pt. II",Alan Walker,5455709
150,151,La Zona,Bad Bunny,5440382
151,152,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,5415097
152,153,Wassup (feat. Future),Lil Uzi Vert,5415044
153,154,Una Vez,Bad Bunny,5411302
154,155,Moonlight,XXXTENTACION,5404664
155,156,ocean eyes,Billie Eilish,5387014
156,157,B.S. (feat. H.E.R.),Jhené Aiko,5343699
157,158,Moon Relate,Lil Uzi Vert,5324545
158,159,Can We Kiss Forever?,Kina,5314606
159,160,The Less I Know The Better,Tame Impala,5281594
160,161,Dior,Pop Smoke,5256948
161,162,Heartless,The Weeknd,5231528
162,163,Black And White,Niall Horan,5204120
163,164,goosebumps,Travis Scott,5197614
164,165,The Other Side (from Trolls World Tour),SZA,5193927
165,166,Make You Mine,PUBLIC,5175757
166,167,Maniac,Conan Gray,5130810
167,168,Whine Up,Nicky Jam,5130783
